#{"t_start": 1632873168.808778, "env_id": "Sprites-v0"}
r,l,t
29.257621,40,0.084579
26.273982,40,0.137949
28.92828,40,0.2161
26.192433,40,0.272991
28.592718,40,0.336023
33.29913,40,1.143695
30.465451,40,1.2135
28.439291,40,1.287264
31.30573,40,1.362064
33.696391,40,1.439856
30.569553,40,2.234797
24.520671,40,2.303703
30.140925,40,2.356591
27.602835,40,2.417628
26.951936,40,2.488419
27.242415,40,3.376629
26.876082,40,3.444021
31.421531,40,3.515686
34.282752,40,3.592005
32.676239,40,3.652934
27.288958,40,4.46491
19.315655,40,4.54407
30.851349,40,4.618483
28.751683,40,4.688555
29.461301,40,4.739164
30.096046,40,5.511386
31.742677,40,5.59235
24.829834,40,5.673474
33.20768,40,5.731993
31.331415,40,5.784395
32.588225,40,7.11725
24.23229,40,7.186272
33.480937,40,7.228837
29.358925,40,7.289398
22.86209,40,7.348149
30.673767,40,8.190047
31.458621,40,8.270074
25.602058,40,8.323467
28.516926,40,8.385994
30.292233,40,8.439372
24.773047,40,9.259939
30.778342,40,9.338727
29.372316,40,9.393817
30.790187,40,9.464471
31.12331,40,9.552024
26.952603,40,10.359895
32.495583,40,10.42265
28.833103,40,10.493361
22.905495,40,10.54375
25.48469,40,10.614598
30.819947,40,11.458751
21.618797,40,11.530014
22.754115,40,11.610849
23.768149,40,11.692599
30.673138,40,11.763739
27.702165,40,12.576236
26.63016,40,12.632926
26.413847,40,12.691706
28.40115,40,12.755026
28.024301,40,12.830562
33.077627,40,14.032448
27.025232,40,14.103716
29.465461,40,14.174622
26.542891,40,14.23533
25.521317,40,14.295867
27.505291,40,15.124956
23.435007,40,15.187427
25.356536,40,15.262527
28.30293,40,15.331335
22.555115,40,15.404394
28.11801,40,16.154349
28.134787,40,16.225794
25.336825,40,16.29714
27.543792,40,16.358211
29.077679,40,16.439656
29.114987,40,17.22016
30.082015,40,17.281344
20.487196,40,17.352781
32.24141,40,17.432007
26.323606,40,17.505224
29.033101,40,18.32185
30.404658,40,18.403478
34.030976,40,18.465955
24.652297,40,18.536661
24.674919,40,18.628834
27.501408,40,19.40273
29.226734,40,19.476536
33.36562,40,19.527111
30.534792,40,19.577493
27.401396,40,19.648175
26.707458,40,20.671702
20.159664,40,20.752539
29.210361,40,20.843016
27.658621,40,20.908879
27.90774,40,20.965097
19.033719,40,21.747735
26.705028,40,21.827952
26.487551,40,21.892778
23.885863,40,21.96974
30.361552,40,22.020254
27.739266,40,22.781468
28.583758,40,22.843133
28.800769,40,22.912514
26.985188,40,22.983987
29.991308,40,23.044689
24.131373,40,23.794588
27.031006,40,23.865597
22.807427,40,23.946657
28.185755,40,24.018023
16.702456,40,24.079118
26.300208,40,24.871127
32.450032,40,24.93322
31.199765,40,25.014629
26.974792,40,25.094615
33.583419,40,25.157302
21.276279,40,25.935038
24.107326,40,26.007536
25.612151,40,26.078111
27.042808,40,26.149434
28.942874,40,26.218376
19.771029,40,27.365574
29.133493,40,27.438839
25.110413,40,27.519666
28.693188,40,27.590464
23.683311,40,27.641162
28.352423,40,28.40191
32.293055,40,28.480923
28.397435,40,28.544015
25.283407,40,28.624979
30.277034,40,28.684003
24.758756,40,29.488125
25.909287,40,29.557658
22.864739,40,29.620412
25.630065,40,29.689604
31.323895,40,29.742262
22.984158,40,30.492656
28.681003,40,30.535204
24.562039,40,30.594084
27.286823,40,30.644735
29.236953,40,30.707733
28.703851,40,31.509275
33.05718,40,31.585737
26.250388,40,31.649658
23.67808,40,31.722825
30.518392,40,31.793461
23.981211,40,32.541924
28.260373,40,32.60463
32.246608,40,32.65538
32.230212,40,32.70685
26.282227,40,32.757494
24.540651,40,33.863267
