#{"t_start": 1632779189.3144383, "env_id": "Sprites-v0"}
r,l,t
27.732957,40,0.092929
30.098663,40,0.178494
31.645333,40,0.263727
30.887375,40,0.341754
27.945519,40,0.427638
29.719785,40,1.472507
30.178714,40,1.538715
27.528418,40,1.605564
27.746398,40,1.671859
25.068017,40,1.743289
27.990056,40,2.714595
25.863809,40,2.783361
25.274607,40,2.855724
30.727162,40,2.920726
30.92526,40,2.985537
24.294661,40,3.993875
29.268987,40,4.065229
29.597758,40,4.132854
22.413161,40,4.197243
26.881124,40,4.262077
30.319496,40,5.240296
28.105253,40,5.30525
31.456323,40,5.371587
29.364475,40,5.4357
28.317695,40,5.499534
21.730142,40,6.505416
32.97095,40,6.570808
27.98934,40,6.635623
24.335531,40,6.71717
23.710244,40,6.790035
22.322973,40,7.795338
25.932887,40,7.860222
21.358708,40,7.930853
29.30921,40,7.998847
27.390881,40,8.064464
20.550126,40,9.094454
25.691712,40,9.169975
26.572,40,9.244147
29.916825,40,9.320447
23.413572,40,9.394345
23.955753,40,10.356503
16.248791,40,10.422108
24.021779,40,10.487254
30.676742,40,10.55228
28.495144,40,10.617272
29.69511,40,11.674425
25.013726,40,11.74708
26.243204,40,11.814721
25.02715,40,11.884333
30.111644,40,11.95365
26.934678,40,12.931112
23.273007,40,13.007577
28.3143,40,13.086449
27.842718,40,13.163934
24.335359,40,13.241183
27.904272,40,14.256852
24.056543,40,14.324004
22.731514,40,14.388983
21.50632,40,14.453693
24.666569,40,14.518392
26.970165,40,15.530169
24.90011,40,15.596487
28.650795,40,15.66183
28.156336,40,15.727688
26.838618,40,15.794039
24.114146,40,16.822965
27.088051,40,16.888013
30.504649,40,16.953476
27.744049,40,17.031049
28.625421,40,17.103173
33.655345,40,18.080417
25.822444,40,18.14727
22.953653,40,18.213719
28.933204,40,18.278995
31.372235,40,18.347282
31.153713,40,19.378687
30.821125,40,19.443331
29.441594,40,19.507572
24.416392,40,19.574012
28.717703,40,19.639106
20.668985,40,20.596499
28.02197,40,20.663801
27.214541,40,20.729232
31.028647,40,20.795188
30.350523,40,20.860391
21.216605,40,21.897808
31.33529,40,21.971663
25.086767,40,22.036645
29.793438,40,22.108253
29.099345,40,22.176337
23.087494,40,23.161978
21.961348,40,23.226976
29.412509,40,23.290922
25.307046,40,23.357758
26.307353,40,23.42253
24.229284,40,24.460408
30.642205,40,24.526913
31.547505,40,24.592036
28.708444,40,24.656778
27.631084,40,24.732302
27.629849,40,25.745394
29.067123,40,25.812689
28.971671,40,25.877551
29.72088,40,25.942552
29.363308,40,26.011822
30.814321,40,27.029646
22.476339,40,27.095146
22.684631,40,27.160312
26.027966,40,27.235114
25.847257,40,27.30053
28.547368,40,28.281915
25.231248,40,28.349648
25.74472,40,28.414613
27.06043,40,28.478879
28.289444,40,28.543359
23.860147,40,29.587502
30.335191,40,29.658375
27.501071,40,29.724213
31.130339,40,29.790108
28.092057,40,29.855191
29.164843,40,30.835341
24.777911,40,30.90085
31.678336,40,30.968152
26.159389,40,31.032183
27.760428,40,31.096789
30.849925,40,32.114413
31.086924,40,32.182487
30.243353,40,32.249514
25.543584,40,32.321404
24.340627,40,32.387061
21.598622,40,33.381582
26.086509,40,33.446797
30.667307,40,33.510823
31.591249,40,33.578179
