#{"t_start": 1632868367.2530642, "env_id": "Sprites-v0"}
r,l,t
31.628181,40,0.084344
32.078746,40,0.147038
30.57855,40,0.217053
24.963146,40,0.277912
30.328569,40,0.33888
26.626719,40,1.085947
30.271837,40,1.148947
32.953845,40,1.229992
26.908535,40,1.298856
27.980846,40,1.361637
33.593067,40,2.106114
27.1173,40,2.163064
28.35354,40,2.21347
21.055187,40,2.274327
25.239814,40,2.324754
17.061338,40,3.05668
26.178249,40,3.128577
26.762461,40,3.198435
29.56817,40,3.259104
24.04187,40,3.339911
24.86198,40,4.081601
30.930262,40,4.150113
25.232781,40,4.222969
30.514867,40,4.273389
22.977012,40,4.35228
28.521608,40,5.135395
32.154729,40,5.198225
32.053777,40,5.2601
31.545902,40,5.320897
25.345744,40,5.375751
25.918957,40,6.515707
29.619344,40,6.602472
28.424599,40,6.695225
30.200851,40,6.783987
27.681376,40,6.881725
27.941983,40,7.831135
28.810118,40,7.909923
28.546508,40,7.984764
28.198709,40,8.052583
25.835257,40,8.140341
34.480361,40,46.710319
32.65111,40,46.78102
28.536841,40,46.841635
32.136218,40,46.9202
26.46953,40,46.982942
24.792276,40,47.70105
23.326665,40,47.781978
29.897459,40,47.842787
25.709829,40,47.920706
27.729237,40,47.992382
25.960683,40,48.731818
25.878759,40,48.782886
28.094435,40,48.860772
28.611656,40,48.941827
32.709539,40,49.012902
28.34429,40,49.730803
31.607665,40,49.790644
22.670077,40,49.859315
28.58179,40,49.919996
31.744154,40,49.992827
25.100015,40,51.064772
23.19647,40,51.143621
26.483077,40,51.206228
26.726146,40,51.277053
28.313581,40,51.347802
23.18654,40,52.28739
29.724343,40,52.402322
27.021248,40,52.479409
26.213234,40,52.549959
22.449048,40,52.610352
32.773862,40,53.573396
25.254461,40,53.642395
28.88905,40,53.727007
27.266822,40,53.789499
18.436131,40,53.877889
19.175155,40,54.928573
28.585503,40,54.989088
26.174993,40,55.055673
28.084729,40,55.131304
28.123998,40,55.219025
28.411241,40,56.060185
37.808196,40,56.130633
26.150081,40,56.20902
20.834773,40,56.279532
26.821859,40,56.349595
25.250973,40,57.065762
27.752488,40,57.136103
24.370483,40,57.20639
24.134561,40,57.284981
27.661895,40,57.337599
25.611003,40,58.429474
33.081625,40,58.50978
29.10405,40,58.568195
27.198287,40,58.620345
22.357037,40,58.681346
30.178216,40,59.441186
