#{"t_start": 1635130424.9984646, "env_id": "Sprites-v0"}
r,l,t
6.648554,40,0.093728
2.164728,40,0.171835
3.571716,40,0.234322
-2.969134,40,0.296806
-0.644291,40,0.374912
2.880207,40,0.453018
2.488574,40,1.312192
0.234352,40,1.374677
5.169482,40,1.42154
5.710099,40,1.484028
9.306445,40,1.546511
5.540846,40,1.624621
6.45939,40,2.542322
4.418909,40,2.625101
7.021826,40,2.695911
5.598808,40,2.770711
6.810652,40,2.845512
6.576614,40,2.930286
8.272927,40,3.817352
9.830574,40,3.879571
-0.765142,40,3.926432
0.933011,40,4.004538
3.290857,40,4.108456
1.596867,40,4.226137
6.751487,40,5.161734
2.974833,40,5.267451
1.849657,40,5.37217
5.278757,40,5.457942
6.527039,40,5.561663
2.747098,40,5.676357
1.400911,40,6.723778
-0.655814,40,6.763091
4.300907,40,6.845342
8.084342,40,6.892206
6.973922,40,6.954691
1.082008,40,7.017176
4.211117,40,7.813862
1.742205,40,7.876348
8.767536,40,7.954454
8.530707,40,8.032561
-4.706841,40,8.110668
1.877932,40,8.173153
7.795061,40,9.001087
7.324289,40,9.07919
10.745008,40,9.141675
4.477557,40,9.219782
8.724357,40,9.266646
10.868491,40,9.313509
5.094911,40,10.157061
-2.773855,40,10.206893
5.178553,40,10.284999
5.850529,40,10.347484
-0.511664,40,10.409969
1.838559,40,10.472455
7.853676,40,11.309547
-2.803156,40,11.372033
-2.073423,40,11.434517
8.057612,40,11.497002
4.511128,40,11.557264
4.84219,40,11.602121
4.435308,40,12.457398
-1.20228,40,12.535506
3.955745,40,12.597992
9.839801,40,12.644854
4.451571,40,12.70734
7.146005,40,12.785446
6.234546,40,13.613376
5.622389,40,13.675861
5.995893,40,13.738346
-3.782539,40,13.800833
0.612399,40,13.847696
5.272199,40,13.910181
5.174606,40,14.731212
5.683203,40,14.778075
-2.320934,40,14.856182
6.883339,40,14.939227
2.575641,40,15.011785
3.098027,40,15.057039
6.744038,40,15.900589
8.611604,40,15.963074
6.198112,40,16.02556
-0.193483,40,16.072424
5.948647,40,16.150529
-1.004142,40,16.197393
0.224787,40,17.072187
1.238298,40,17.150295
4.715263,40,17.228402
3.3845,40,17.306508
6.279402,40,17.384615
0.189018,40,17.447099
-2.585599,40,18.297001
5.169688,40,18.363235
3.728389,40,18.418596
4.782983,40,18.471786
2.467338,40,18.524849
2.782542,40,18.587333
4.103126,40,19.441754
3.526213,40,19.488614
-3.378236,40,19.551099
-4.256434,40,19.613584
3.345983,40,19.67607
3.145755,40,19.754175
1.375706,40,20.597728
1.042742,40,20.660214
5.857065,40,20.722698
1.784851,40,20.785183
2.101751,40,20.847669
7.980162,40,20.894535
12.840533,40,21.75929
0.929599,40,21.821776
6.235863,40,21.86864
1.889427,40,21.931124
-0.194457,40,21.993609
8.209548,40,22.056096
2.1242,40,22.868405
2.412876,40,22.930889
8.305231,40,23.024617
-2.585369,40,23.087102
5.749257,40,23.165209
5.936767,40,23.243315
2.169987,40,24.118109
-0.831462,40,24.196218
3.845916,40,24.243079
-1.032125,40,24.305565
5.972429,40,24.36805
1.005207,40,24.446158
6.709609,40,25.275727
0.812579,40,25.33821
2.745404,40,25.431938
10.228821,40,25.510044
5.361193,40,25.572529
5.020236,40,25.650635
3.164483,40,26.52543
9.886019,40,26.594467
3.227989,40,26.672574
4.025281,40,26.75068
-1.824247,40,26.813165
9.497705,40,26.906893
1.831622,40,27.766066
8.759826,40,27.828552
4.925748,40,27.90666
1.525737,40,27.969143
0.262042,40,28.016009
2.273304,40,28.094114
2.999463,40,28.953288
5.184624,40,29.031394
3.02202,40,29.078256
-0.847482,40,29.125121
6.416484,40,29.187609
7.550351,40,29.281333
7.630619,40,30.13651
-2.484707,40,30.183374
4.796564,40,30.245859
-4.843471,40,30.308344
6.59473,40,30.37083
3.061919,40,30.448936
7.090706,40,31.287155
5.344331,40,31.349639
5.787489,40,31.412125
7.678857,40,31.49023
7.626815,40,31.568337
4.86522,40,31.630825
6.4879,40,32.489995
3.584417,40,32.583723
4.258722,40,32.661829
4.101071,40,32.724316
7.778328,40,32.786801
3.513721,40,32.849287
0.877134,40,33.72408
5.539376,40,33.817808
6.432484,40,33.880294
6.704205,40,33.942778
4.848277,40,34.005264
5.214487,40,34.067749
6.489385,40,34.9113
3.763339,40,34.973786
5.14551,40,35.036271
1.399135,40,35.114377
0.968835,40,35.192484
3.36311,40,35.254969
7.656218,40,36.098521
5.785962,40,36.161006
1.979836,40,36.239112
8.379252,40,36.317219
4.330539,40,36.379704
-2.37229,40,36.457813
5.89184,40,37.301362
3.685485,40,37.379469
1.877086,40,37.457576
4.087435,40,37.520061
7.177503,40,37.582547
-2.992218,40,37.645031
7.586856,40,38.504204
3.999552,40,38.55107
2.587093,40,38.613555
3.714971,40,38.691661
5.723406,40,38.769767
-0.668424,40,38.832252
6.875862,40,39.675804
8.351751,40,39.753911
3.784225,40,39.832018
8.670846,40,39.910124
9.103288,40,39.972608
7.408668,40,40.050715
5.658538,40,40.978899
5.700864,40,41.057004
7.695146,40,41.11949
6.978994,40,41.181974
5.818132,40,41.260081
1.268404,40,41.338188
6.869657,40,42.228603
6.920169,40,42.291089
6.361823,40,42.353573
6.937843,40,42.416059
-0.586837,40,42.494165
11.120147,40,42.572272
1.812063,40,43.517464
1.345856,40,43.558887
11.020666,40,43.636993
7.19059,40,43.699478
5.544075,40,43.777584
2.931109,40,43.840069
3.973136,40,44.683621
9.487013,40,44.730486
4.635467,40,44.79297
1.512096,40,44.855455
6.14767,40,44.90232
8.170326,40,44.980428
8.071563,40,45.823156
1.543636,40,45.901263
1.791821,40,45.979371
4.802278,40,46.057477
-4.636489,40,46.135582
1.810007,40,46.213689
6.976217,40,47.06438
9.81886,40,47.101428
7.549256,40,47.179536
4.829417,40,47.242018
-2.65516,40,47.304503
3.497194,40,47.394398
