#{"t_start": 1635107119.5098624, "env_id": "Sprites-v1"}
r,l,t
7.630554,40,0.528846
5.235178,40,0.600655
6.601735,40,0.665481
-4.109986,40,0.727316
6.060503,40,0.810217
2.949074,40,0.901459
2.656369,40,2.059188
8.88749,40,2.115145
6.488117,40,2.182059
6.529395,40,2.241127
13.247635,40,2.306595
5.246218,40,2.36497
5.489065,40,3.250357
3.485088,40,3.305259
3.294064,40,3.359286
7.082295,40,3.423385
4.571696,40,3.49349
2.582545,40,3.559423
1.03044,40,4.396293
-0.448458,40,4.499102
0.020325,40,4.595389
12.044508,40,4.681695
-0.830184,40,4.759666
2.485761,40,4.845408
2.839865,40,5.796802
7.367349,40,5.872602
3.162014,40,5.93656
5.110906,40,6.012786
7.069005,40,6.076615
3.117782,40,6.143838
4.741843,40,7.007832
5.956982,40,7.074764
3.51361,40,7.146775
6.119573,40,7.228813
4.566217,40,7.438568
3.847424,40,7.571884
7.599421,40,8.986058
2.509308,40,9.148616
10.867404,40,9.273631
-4.561959,40,9.375359
1.647018,40,9.473132
0.382846,40,9.568555
3.344182,40,10.590161
4.540464,40,10.66097
6.660257,40,10.748736
4.543105,40,10.83256
2.391324,40,10.914292
-1.368517,40,10.98561
1.718873,40,11.974077
5.160591,40,12.05511
6.346172,40,12.132866
1.411372,40,12.236118
-2.317548,40,12.334046
3.06136,40,12.401815
3.554774,40,13.388267
-1.86137,40,13.476032
2.868671,40,13.560414
3.947309,40,13.628231
7.941032,40,13.695057
-7.259358,40,13.764281
7.218415,40,14.711082
11.420029,40,14.796821
1.695051,40,14.892603
3.994695,40,14.976288
1.588884,40,15.047061
0.205898,40,15.118224
4.339104,40,16.07046
0.086714,40,16.153769
5.237766,40,16.238589
1.0042,40,16.315336
-2.530041,40,16.391964
6.149238,40,16.459306
2.723026,40,17.438303
-2.828274,40,17.5101
-1.357844,40,17.592879
4.034171,40,17.670671
9.320563,40,17.747509
10.335792,40,17.834267
6.8071,40,18.832444
11.134128,40,18.90326
5.200827,40,18.991188
4.168106,40,19.067397
3.192462,40,19.153254
5.725808,40,19.231381
6.456723,40,20.2094
5.054212,40,20.29916
4.446659,40,20.38596
3.709182,40,20.459729
2.8559,40,20.544536
2.045064,40,20.622294
3.143944,40,21.588477
4.901808,40,21.676141
1.277607,40,21.749223
4.139472,40,21.822445
3.201016,40,21.908056
7.680895,40,21.982434
1.142141,40,22.916374
5.437833,40,22.996107
5.906606,40,23.074353
6.962555,40,23.158448
3.9168,40,23.224279
5.421255,40,23.307488
0.48677,40,24.274583
8.788721,40,24.340904
6.856157,40,24.421686
3.548196,40,24.508454
5.477169,40,24.585249
3.531546,40,24.659822
-0.169374,40,25.643347
5.000561,40,25.711164
3.070386,40,25.792984
5.36395,40,25.879669
-0.467896,40,25.952474
6.187785,40,26.033275
4.006988,40,26.971213
6.554689,40,27.05306
3.689495,40,27.14184
2.116389,40,27.234558
4.929557,40,27.308223
-6.584666,40,27.390224
3.378017,40,28.377396
0.5349,40,28.457336
3.178143,40,28.540116
4.882944,40,28.614916
4.918925,40,28.692757
2.37257,40,28.773522
2.717388,40,29.70875
5.615233,40,29.794564
5.007366,40,29.877344
2.245802,40,29.950374
0.27813,40,30.027293
6.801846,40,30.100375
4.135455,40,31.066219
5.967955,40,31.147197
5.249769,40,31.23301
-1.379946,40,31.331704
5.972095,40,31.407501
-4.139405,40,31.483296
4.793708,40,32.436936
-0.683277,40,32.522156
2.389585,40,32.609881
4.106913,40,32.685678
5.346628,40,32.75753
8.114434,40,32.829296
1.086107,40,33.836018
-1.91319,40,33.903836
5.254886,40,33.989608
5.7265,40,34.094699
7.617186,40,34.175483
2.199426,40,34.250241
3.509653,40,35.30038
6.463681,40,35.397403
1.969253,40,35.485187
6.905626,40,35.571787
-2.078703,40,35.662508
5.3359,40,35.742294
5.403885,40,36.722234
0.234938,40,36.80539
4.118408,40,36.891426
6.501639,40,36.983309
4.22643,40,37.063181
2.210957,40,37.137769
-3.117931,40,38.117934
5.619868,40,38.207735
7.127489,40,38.278509
6.468778,40,38.35338
3.159533,40,38.440341
3.894342,40,38.534218
4.513308,40,39.527278
8.305309,40,39.622064
4.847037,40,39.714777
3.204153,40,39.799551
8.104076,40,39.882193
7.985629,40,39.980695
5.029762,40,40.992262
10.201122,40,41.072369
-3.682298,40,41.1404
8.963223,40,41.232296
5.369657,40,41.305403
1.1378,40,41.387251
-2.859971,40,42.384578
5.607684,40,42.471409
4.180792,40,42.560034
-1.349681,40,42.639242
2.0913,40,42.71536
8.452253,40,42.787441
8.811614,40,43.820969
2.036888,40,43.911689
3.171255,40,43.987487
8.039471,40,44.078242
-0.413794,40,44.155039
5.906979,40,44.244801
-1.593368,40,45.232337
4.690458,40,45.317145
-2.724159,40,45.392908
2.816775,40,45.471697
2.452406,40,45.557975
2.857735,40,45.661925
6.97106,40,46.662719
5.111578,40,46.747458
4.86301,40,46.834148
3.499959,40,46.918467
3.749398,40,47.003249
-0.967669,40,47.082991
10.996554,40,48.071121
5.535667,40,48.153951
4.868135,40,48.248641
1.021266,40,48.326393
1.753194,40,48.401194
-0.462113,40,48.483972
4.8785,40,49.435428
4.715528,40,49.524191
1.480272,40,49.616975
4.458597,40,49.704746
-3.265166,40,49.768536
4.413805,40,49.839381
3.100391,40,50.849488
6.674617,40,50.930464
5.656923,40,51.016626
6.970222,40,51.084527
3.583385,40,51.169501
1.403118,40,51.244623
1.914515,40,52.238793
7.270627,40,52.314581
-1.5001,40,52.401342
-0.239183,40,52.483299
0.05064,40,52.569233
1.024886,40,52.649258
5.642804,40,53.639536
0.361702,40,53.720321
5.98089,40,53.791132
9.028868,40,53.862939
2.754782,40,53.927802
8.036679,40,53.998588
6.466834,40,54.996503
1.738659,40,55.077986
2.357606,40,55.161725
1.792418,40,55.249524
10.446688,40,55.328992
-0.840016,40,55.395846
4.807624,40,56.361607
8.534182,40,56.442949
0.481899,40,56.521739
-1.829837,40,56.598575
0.218547,40,56.675432
-2.738878,40,56.755914
0.193537,40,57.730378
7.944187,40,57.819141
7.513584,40,57.891945
7.193373,40,57.963753
-2.243715,40,58.049523
11.535761,40,58.147296
2.787556,40,59.156837
6.95678,40,59.231633
5.616062,40,59.312376
-2.652323,40,59.402183
7.993292,40,59.472949
5.679682,40,59.563748
3.368998,40,60.534421
-1.247253,40,60.620927
5.087669,40,60.692737
5.703088,40,60.775514
5.779407,40,60.866426
0.777667,40,60.960854
4.365967,40,61.913451
5.293022,40,62.008198
6.861825,40,62.087987
3.554499,40,62.168769
7.154059,40,62.249572
1.547441,40,62.322405
2.544235,40,63.329701
-2.839344,40,63.416472
6.285334,40,63.49921
1.322893,40,63.57804
4.68029,40,63.647815
5.278978,40,63.736576
9.350282,40,64.744914
5.131486,40,64.817686
9.393592,40,64.882512
3.750614,40,64.96334
5.444232,40,65.035104
8.539934,40,65.113937
4.114748,40,66.098314
1.666456,40,66.165118
5.361698,40,66.243914
5.149285,40,66.320664
5.384547,40,66.457299
3.122358,40,66.555055
3.90424,40,67.544391
9.406316,40,67.615401
6.907354,40,67.696404
-0.149524,40,67.778179
3.292277,40,67.862266
8.994502,40,67.946604
8.495069,40,68.991281
4.799063,40,69.073356
7.152044,40,69.163112
-0.338689,40,69.258823
7.735094,40,69.339648
7.156517,40,69.404432
9.598135,40,70.375856
2.35304,40,70.459631
0.934499,40,70.544406
-0.26136,40,70.641148
2.557234,40,70.727914
3.101849,40,70.812687
6.622066,40,71.797795
2.25603,40,71.87562
7.518558,40,71.947393
0.863115,40,72.018204
-4.316786,40,72.104681
9.138219,40,72.177998
6.348321,40,73.186831
9.605853,40,73.2666
9.683227,40,73.349427
9.442125,40,73.43321
0.40127,40,73.515988
0.163665,40,73.588258
5.492492,40,74.590549
4.376571,40,74.679353
1.718252,40,74.765128
4.254995,40,74.860873
5.642488,40,74.953189
8.839436,40,75.042807
