#{"t_start": 1635296556.794518, "env_id": "Sprites-v1"}
r,l,t
2.437795,40,0.100519
6.41728,40,0.175319
3.55819,40,0.258
5.985424,40,0.346761
6.304295,40,0.431535
5.589055,40,0.512318
3.98413,40,0.907274
9.6495,40,0.995028
4.738344,40,1.069079
-2.212023,40,1.131565
3.489891,40,1.209672
3.887509,40,1.272157
-0.841369,40,1.584584
2.377439,40,1.64707
4.590651,40,1.725177
8.653266,40,1.787661
-0.682367,40,1.850147
9.512595,40,1.912634
0.227573,40,2.259028
2.369822,40,2.352754
1.915283,40,2.446486
7.449312,40,2.508968
6.699382,40,2.555831
6.705318,40,2.618317
6.429842,40,2.946364
8.463587,40,2.993229
8.020888,40,3.055713
4.229964,40,3.102577
7.961029,40,3.165063
3.542866,40,3.227549
3.598782,40,3.571217
1.907354,40,3.649324
3.740416,40,3.71181
7.469465,40,3.758673
0.876878,40,3.852401
4.556774,40,3.914888
4.518358,40,4.348155
4.234436,40,4.433927
5.621233,40,4.512715
7.092518,40,4.596493
8.451624,40,4.691241
0.092746,40,4.764045
1.407222,40,5.184796
-2.458028,40,5.278527
3.983254,40,5.372648
7.582632,40,5.450747
3.975187,40,5.528853
4.028741,40,5.607001
-1.829384,40,5.935007
-0.215445,40,6.013115
9.46927,40,6.0756
0.852317,40,6.138086
5.783794,40,6.200571
0.406149,40,6.263055
4.122336,40,6.580232
9.446684,40,6.642719
5.88948,40,6.720822
8.209214,40,6.798931
0.511448,40,6.865517
2.04464,40,6.918554
7.392877,40,7.253499
4.227553,40,7.327425
5.688895,40,7.421152
2.280198,40,7.468016
0.851547,40,7.546122
2.271356,40,7.624229
6.622594,40,7.921034
10.769316,40,7.983521
-4.612442,40,8.046005
11.370704,40,8.10849
8.572853,40,8.170978
-3.485099,40,8.249083
3.453291,40,8.558696
4.551544,40,8.60556
1.488066,40,8.668045
4.864301,40,8.73053
6.681777,40,8.808636
1.378374,40,8.855502
2.575011,40,9.166502
6.014045,40,9.228985
4.647315,40,9.29147
-2.554054,40,9.369577
3.043337,40,9.432062
2.401763,40,9.494547
3.279824,40,9.811888
3.540344,40,9.874374
3.857109,40,9.936858
4.255011,40,9.983725
5.783356,40,10.046209
3.413918,40,10.093075
0.870329,40,10.405497
2.962786,40,10.483604
-2.980499,40,10.546091
7.867397,40,10.624197
7.253918,40,10.686681
1.388246,40,10.733547
1.198261,40,11.057806
5.970577,40,11.113619
1.355809,40,11.163525
1.540033,40,11.22601
5.296861,40,11.308623
10.694521,40,11.386736
5.293241,40,11.699164
9.50585,40,11.777271
5.987427,40,11.839754
5.180972,40,11.902241
3.700475,40,11.964724
1.700093,40,12.04283
7.48671,40,12.355257
1.975296,40,12.433365
9.530007,40,12.495851
-0.58345,40,12.573955
1.72797,40,12.65317
4.041958,40,12.731277
8.072515,40,13.048889
4.707682,40,13.117152
9.193724,40,13.170418
6.28341,40,13.232903
-0.978709,40,13.311009
5.350774,40,13.373495
3.717188,40,13.701542
9.646816,40,13.77965
-2.401937,40,13.842136
6.844189,40,13.920242
4.704722,40,13.998349
8.922635,40,14.076454
3.036124,40,14.388881
2.045486,40,14.482649
7.846976,40,14.529475
5.525791,40,14.607616
7.593242,40,14.670108
10.173505,40,14.748172
0.915788,40,15.063374
3.78645,40,15.12267
4.584388,40,15.173577
2.048994,40,15.236061
-0.802632,40,15.298547
3.661608,40,15.345411
5.319833,40,15.657836
5.106777,40,15.7047
5.130072,40,15.782809
4.859953,40,15.829671
2.732578,40,15.907777
0.410383,40,15.970262
6.679429,40,16.282689
7.171969,40,16.376417
7.18777,40,16.438902
7.053209,40,16.517009
0.499019,40,16.610739
-3.885822,40,16.673233
4.549035,40,17.001269
2.043156,40,17.073621
2.403161,40,17.136106
4.772051,40,17.198591
4.542756,40,17.276698
6.179456,40,17.339185
1.939404,40,17.698476
6.26918,40,17.760963
1.135768,40,17.823443
4.78085,40,17.885929
1.343378,40,17.964038
5.822093,40,18.02652
2.561101,40,18.37019
3.88187,40,18.44789
6.898834,40,18.505525
3.853958,40,18.568009
-0.646255,40,18.630495
7.867016,40,18.708602
0.151242,40,18.987559
3.468537,40,19.081287
5.038391,40,19.143775
3.731322,40,19.22188
3.946514,40,19.299985
7.63155,40,19.393714
-2.195137,40,19.690519
4.595754,40,19.753005
8.672805,40,19.815491
1.770112,40,19.893596
1.147305,40,19.940461
11.038365,40,20.034189
7.323609,40,20.362237
2.402127,40,20.440342
4.8472,40,20.51845
10.695097,40,20.596555
6.180744,40,20.659041
1.486973,40,20.721525
7.971834,40,21.00271
3.774515,40,21.080817
4.93254,40,21.143302
7.709843,40,21.205787
2.870366,40,21.283894
6.821172,40,21.362
1.296126,40,21.643185
3.984527,40,21.736913
2.806353,40,21.799399
0.895809,40,21.861882
1.546644,40,21.92437
4.289657,40,21.986853
5.91246,40,22.300832
4.661696,40,22.363318
6.459817,40,22.457045
4.373014,40,22.535151
4.285859,40,22.597637
7.300587,40,22.675744
0.896686,40,22.972549
0.721344,40,23.019413
3.631333,40,23.095404
5.085383,40,23.163949
2.104239,40,23.257642
4.841554,40,23.304506
-3.028562,40,23.616932
6.10287,40,23.663795
2.692747,40,23.757523
8.02411,40,23.820009
7.614855,40,23.898115
10.320371,40,23.960602
5.709909,40,24.319892
3.430047,40,24.382377
6.662743,40,24.460483
4.851968,40,24.538591
6.036362,40,24.601075
5.546215,40,24.679181
5.587972,40,24.975986
6.90227,40,25.038474
7.200907,40,25.132841
-3.463545,40,25.210948
2.676659,40,25.273434
6.374594,40,25.351541
12.672339,40,25.663968
2.106888,40,25.726451
6.69479,40,25.788938
3.912337,40,25.867043
-0.741858,40,25.92953
-2.393391,40,25.992014
1.055525,40,26.335684
5.038415,40,26.382549
3.446088,40,26.460656
8.307533,40,26.523142
-1.577431,40,26.601371
4.543943,40,26.679476
8.046867,40,27.007523
6.927263,40,27.070011
2.215724,40,27.132495
9.259513,40,27.210602
9.54353,40,27.288711
5.101229,40,27.335571
9.372595,40,27.640738
4.504182,40,27.718844
9.308572,40,27.796952
0.479364,40,27.859436
7.447733,40,27.921923
3.519725,40,27.968787
0.738952,40,28.296834
3.332347,40,28.374985
4.118519,40,28.437425
6.23123,40,28.515531
6.438639,40,28.593638
1.786703,40,28.656122
4.657707,40,28.952929
-1.56121,40,28.999792
2.367488,40,29.073877
2.886669,40,29.131975
5.99703,40,29.210081
4.333938,40,29.288233
-2.234204,40,29.584993
1.389537,40,29.663099
3.499377,40,29.725586
2.599348,40,29.803694
1.996458,40,29.881797
1.91617,40,29.959904
1.361324,40,30.290787
2.295853,40,30.368894
-5.364401,40,30.431379
3.508619,40,30.493865
2.384721,40,30.571971
3.772919,40,30.634457
6.811116,40,30.962504
0.943876,40,31.032361
4.712875,40,31.103832
5.584563,40,31.155062
5.849457,40,31.233168
3.89002,40,31.295653
7.959992,40,31.608082
6.513308,40,31.670567
5.793797,40,31.733051
-1.496924,40,31.811159
-0.71539,40,31.873643
2.293192,40,31.96737
3.74193,40,32.264175
4.374559,40,32.342281
2.156938,40,32.420388
1.656989,40,32.482873
-0.293184,40,32.560982
2.141984,40,32.623466
