#{"t_start": 1635290643.7502737, "env_id": "Sprites-v2"}
r,l,t
5.567758,40,0.109349
3.700876,40,0.171835
2.978223,40,0.24994
3.972189,40,0.312428
-2.271742,40,0.374912
3.999115,40,0.453067
4.129777,40,0.718581
2.165816,40,0.796686
-0.490565,40,0.874793
4.512557,40,0.921658
7.584515,40,0.984143
3.689906,40,1.062251
3.989019,40,1.359054
2.782264,40,1.405918
5.202101,40,1.468447
2.886803,40,1.53089
5.974778,40,1.624619
7.942311,40,1.687102
6.789414,40,1.999558
5.865304,40,2.071547
4.484858,40,2.127825
4.857202,40,2.181415
7.836883,40,2.243896
9.594822,40,2.32197
8.492092,40,2.618774
8.499468,40,2.696914
6.978857,40,2.773573
-1.66601,40,2.865164
1.884532,40,2.929097
5.86514,40,2.975959
7.181774,40,3.272759
0.17773,40,3.350828
2.643761,40,3.413355
-2.011316,40,3.475829
7.535923,40,3.522662
4.938784,40,3.585186
5.602699,40,3.835131
4.207551,40,3.897574
-1.608752,40,3.944437
6.548135,40,4.006922
2.763019,40,4.053786
4.104273,40,4.147515
6.340172,40,4.444319
-5.842335,40,4.522464
-1.355972,40,4.584911
5.11023,40,4.66302
7.433076,40,4.741169
5.843494,40,4.788032
3.295755,40,5.069173
8.641877,40,5.147322
1.901928,40,5.194143
2.128777,40,5.27225
8.571936,40,5.334737
1.086699,40,5.39722
3.836155,40,5.694027
2.919588,40,5.740889
10.61613,40,5.803374
4.742907,40,5.865902
3.730544,40,5.928345
2.58614,40,5.97521
1.799845,40,6.275613
6.97768,40,6.322478
7.650841,40,6.36934
4.259835,40,6.431827
6.42848,40,6.494313
3.851976,40,6.556796
-1.252841,40,6.837982
4.318267,40,6.916131
6.265127,40,6.978572
3.538588,40,7.041058
7.801468,40,7.119164
-4.617306,40,7.181651
10.985289,40,7.5097
4.345023,40,7.572183
4.527455,40,7.650289
4.603308,40,7.7284
4.533127,40,7.790881
5.349017,40,7.853397
10.053771,40,8.144354
5.522699,40,8.217296
4.646111,40,8.279826
3.186785,40,8.358168
8.624609,40,8.420682
4.241917,40,8.483136
6.467461,40,8.779975
5.740195,40,8.860704
5.807409,40,8.92319
3.044297,40,9.001328
