#{"t_start": 1635278842.9874032, "env_id": "Sprites-v2"}
r,l,t
-1.352029,40,0.121674
11.334713,40,0.209443
7.702155,40,0.298202
4.763782,40,0.38701
6.053751,40,0.452768
6.458402,40,0.515208
4.87581,40,1.418182
0.797188,40,1.496257
3.621621,40,1.574363
6.233793,40,1.636888
6.221593,40,1.714956
12.637574,40,1.777472
7.492417,40,2.668882
2.28501,40,2.751152
6.218414,40,2.81783
9.091084,40,2.880316
7.547376,40,2.942801
9.478889,40,3.020908
8.821305,40,3.864479
5.401792,40,3.926995
5.908861,40,4.005073
7.936506,40,4.067558
-1.571845,40,4.145704
4.104445,40,4.208186
2.749462,40,5.063428
5.224345,40,5.125912
-0.160176,40,5.188399
0.383171,40,5.250884
7.289971,40,5.313411
2.675009,40,5.391475
5.851499,40,6.250649
4.573706,40,6.313179
2.332411,40,6.375662
4.470153,40,6.438148
10.340405,40,6.50059
8.792017,40,6.563105
6.699175,40,7.431278
4.198888,40,7.509368
3.336323,40,7.587476
3.996351,40,7.64992
4.182417,40,7.743654
9.220258,40,7.821758
4.763497,40,8.75686
-0.822908,40,8.834927
2.681795,40,8.897451
4.746126,40,8.959898
4.022039,40,9.038004
7.284619,40,9.100489
3.777541,40,9.948857
7.713119,40,10.026965
9.207826,40,10.089448
1.021527,40,10.167556
1.029851,40,10.245666
6.885162,40,10.308151
0.859219,40,11.136077
-6.16408,40,11.198562
8.633676,40,11.245427
5.012407,40,11.323534
10.206562,40,11.386021
3.319787,40,11.464166
1.516955,40,12.308896
5.380221,40,12.371395
4.515491,40,12.449459
1.018579,40,12.511941
6.910556,40,12.574465
6.524922,40,12.652575
6.007082,40,13.498178
4.944016,40,13.576245
6.525127,40,13.654356
6.811487,40,13.716841
5.862661,40,13.794984
3.722003,40,13.873082
8.300654,40,14.747847
3.689658,40,14.825954
5.921414,40,14.888437
4.342086,40,14.935301
6.78931,40,14.997787
4.450075,40,15.060272
6.602539,40,15.919487
-0.157095,40,15.997592
4.560012,40,16.060037
1.483642,40,16.153805
4.044552,40,16.231872
5.406454,40,16.278787
10.224484,40,17.134302
2.461565,40,17.212409
3.589161,40,17.290514
5.823415,40,17.368621
2.782008,40,17.431106
7.668254,40,17.493592
3.382884,40,18.333206
5.324071,40,18.395693
1.151851,40,18.458216
7.691506,40,18.551905
4.595069,40,18.630013
6.071218,40,18.708157
5.188871,40,19.551704
10.820783,40,19.614155
6.492245,40,19.66102
1.121822,40,19.723545
1.581743,40,19.801628
10.307984,40,19.864097
2.423116,40,20.709259
6.16915,40,20.787364
5.727535,40,20.849851
1.845042,40,20.943579
6.725572,40,20.990443
2.88093,40,21.052927
5.599784,40,21.880899
1.030289,40,21.974584
10.823567,40,22.037107
-3.497492,40,22.131254
4.647886,40,22.193739
1.389085,40,22.271819
5.053492,40,23.130987
-0.705156,40,23.19351
8.397309,40,23.271609
3.196477,40,23.334066
5.113546,40,23.412203
7.554659,40,23.490308
7.137821,40,24.5943
-2.669079,40,24.656783
8.221445,40,24.719269
4.494732,40,24.781755
-2.44669,40,24.859903
3.823439,40,24.937997
4.712467,40,25.768364
-7.034554,40,25.815191
8.543286,40,25.877675
4.399708,40,25.940203
3.41359,40,26.018311
12.1376,40,26.096404
4.609953,40,26.955545
4.033475,40,27.018062
2.623449,40,27.080516
3.545405,40,27.143039
4.171758,40,27.189868
7.428157,40,27.268011
-0.56,40,28.095943
2.55603,40,28.15839
8.241351,40,28.236534
6.271832,40,28.29901
5.496866,40,28.377118
5.694518,40,28.470852
4.359547,40,29.309698
5.306779,40,29.372227
5.875512,40,29.43471
2.802304,40,29.497203
5.499026,40,29.575305
2.943983,40,29.653369
1.896439,40,30.518103
9.064291,40,30.596209
8.169929,40,30.658694
2.452522,40,30.721179
8.830852,40,30.783665
5.026359,40,30.846195
0.466309,40,31.689745
6.994943,40,31.75223
6.014258,40,31.830295
8.282469,40,31.90844
-0.972014,40,31.955265
7.742173,40,32.033401
3.076575,40,32.840077
5.529502,40,32.902566
1.268619,40,32.96505
9.1949,40,33.027534
-0.790383,40,33.105641
2.409315,40,33.18378
4.579079,40,34.042921
2.804936,40,34.089786
6.566939,40,34.183544
10.204281,40,34.246036
10.970648,40,34.324103
4.54846,40,34.417831
8.455877,40,35.264527
4.938243,40,35.342632
3.586477,40,35.405159
5.845199,40,35.467602
0.201556,40,35.545748
