#{"t_start": 1635148190.8341298, "env_id": "SpritesState-v2"}
r,l,t
2.763693,40,0.177587
6.715945,40,0.212029
4.816809,40,0.228753
6.83762,40,0.26004
4.550696,40,0.291285
-2.472615,40,0.306907
7.517858,40,0.6803
0.248985,40,0.714635
5.480571,40,0.746949
4.577526,40,0.782087
5.019283,40,0.831729
8.688393,40,0.863743
5.8221,40,0.974803
5.568247,40,1.013841
11.597974,40,1.045094
0.909899,40,1.091992
7.21853,40,1.141044
4.749316,40,1.157831
7.520503,40,1.271003
11.353364,40,1.308809
3.809278,40,1.341198
3.474535,40,1.389171
9.703133,40,1.421452
4.687905,40,1.457142
-2.711131,40,1.58656
1.644866,40,1.620514
3.757229,40,1.668523
3.38221,40,1.701867
6.000484,40,1.736322
3.487264,40,1.767529
4.71789,40,1.870472
4.009785,40,1.903899
2.192995,40,1.937415
6.171121,40,1.988201
5.371784,40,2.021891
2.318877,40,2.053169
9.701561,40,2.188856
7.576317,40,2.220227
3.080299,40,2.26815
1.787491,40,2.305941
-5.958663,40,2.339688
4.505084,40,2.372231
5.725921,40,2.476213
4.769617,40,2.509851
0.065904,40,2.544364
1.643052,40,2.577713
4.183215,40,2.625624
7.395203,40,2.659435
4.168842,40,2.768499
8.577835,40,2.801097
3.185362,40,2.84796
6.05413,40,2.879209
5.67479,40,2.926069
-2.556422,40,2.957309
6.460887,40,3.066757
5.801744,40,3.100136
8.496051,40,3.152138
9.12478,40,3.167722
4.054835,40,3.218509
3.71945,40,3.24976
8.295956,40,3.381795
4.13468,40,3.415132
5.853294,40,3.463143
11.39944,40,3.50094
5.35772,40,3.535645
2.766758,40,3.566928
1.954571,40,3.675813
5.847573,40,3.70869
5.997946,40,3.760181
2.493523,40,3.793683
3.549049,40,3.827747
7.299709,40,3.86028
1.638932,40,3.969556
4.630136,40,4.003952
4.132953,40,4.05202
2.800328,40,4.098876
9.185616,40,4.132395
8.724671,40,4.164989
1.393337,40,4.286794
10.569611,40,4.337251
3.432227,40,4.368534
1.486767,40,4.416684
8.006689,40,4.466798
3.772722,40,4.482559
3.845438,40,4.622646
7.084928,40,4.654936
1.012163,40,4.687437
7.50284,40,4.719817
5.195119,40,4.735484
6.420874,40,4.783509
3.61005,40,4.90696
10.908862,40,4.938166
10.108647,40,4.969442
3.890113,40,5.021204
7.769976,40,5.05382
3.963498,40,5.086375
6.563851,40,5.188743
5.529258,40,5.222425
6.918253,40,5.270382
9.720616,40,5.299257
4.057905,40,5.334577
1.96554,40,5.366922
6.726315,40,5.477618
6.150222,40,5.506187
5.239135,40,5.532508
2.675294,40,5.584072
0.46181,40,5.624096
6.828957,40,5.655431
10.156797,40,5.775534
3.266237,40,5.824711
3.821292,40,5.856
10.96287,40,5.904031
2.735728,40,5.936483
8.979425,40,5.967725
7.846557,40,6.091143
5.354346,40,6.124601
0.940709,40,6.157075
5.660298,40,6.188325
7.377884,40,6.219568
4.626362,40,6.252538
6.047543,40,6.37041
10.509908,40,6.390168
7.577047,40,6.438184
5.60984,40,6.471664
9.050063,40,6.508327
3.158716,40,6.541707
3.164905,40,6.653764
6.620514,40,6.702949
8.10658,40,6.735229
0.988809,40,6.766481
5.297725,40,6.814474
1.32286,40,6.845855
8.344055,40,6.967594
4.235474,40,7.000338
0.598555,40,7.033788
7.600997,40,7.067294
10.283225,40,7.099705
6.014142,40,7.141398
7.752236,40,7.262365
1.205547,40,7.295201
-2.00527,40,7.323833
5.542159,40,7.374455
4.664723,40,7.423493
0.458961,40,7.441879
2.061098,40,7.559074
7.987601,40,7.613422
8.84114,40,7.653292
5.304959,40,7.700195
10.62819,40,7.73754
10.322363,40,7.754467
4.058477,40,7.890751
7.580603,40,7.923098
3.019713,40,7.95439
8.447873,40,7.986691
5.133505,40,8.017966
2.269801,40,8.051738
5.80027,40,8.171425
4.567897,40,8.206887
11.696146,40,8.254845
8.503422,40,8.302875
8.090882,40,8.331579
6.114468,40,8.367122
6.609969,40,8.480814
0.488031,40,8.517987
10.33617,40,8.552733
2.325204,40,8.603909
-2.507278,40,8.637197
4.108517,40,8.668471
3.529763,40,8.799601
4.854279,40,8.848906
7.602875,40,8.866632
4.921429,40,8.91354
6.332438,40,8.945903
3.846438,40,8.978271
3.722567,40,9.104835
7.018288,40,9.125153
5.246262,40,9.172079
5.779356,40,9.215493
5.969874,40,9.24783
6.276654,40,9.264965
1.332367,40,9.398589
8.667469,40,9.447776
6.113605,40,9.481246
7.370265,40,9.514687
6.349359,40,9.548032
7.2047,40,9.581481
5.867742,40,9.692944
1.83206,40,9.727839
7.446401,40,9.767056
6.077873,40,9.807141
5.230246,40,9.841501
9.904156,40,9.869173
4.591575,40,9.989392
3.63329,40,10.031534
2.978933,40,10.071263
3.192323,40,10.129236
3.479924,40,10.153224
2.354897,40,10.186271
3.020997,40,10.310839
8.611999,40,10.343468
8.659522,40,10.393934
3.902751,40,10.444309
3.901549,40,10.477887
3.498211,40,10.51059
4.070979,40,10.651009
0.787868,40,10.68546
8.648521,40,10.729975
4.708184,40,10.770552
7.630506,40,10.816623
6.989572,40,10.832233
8.809875,40,10.972656
8.191557,40,11.005079
5.599421,40,11.053346
5.855255,40,11.085794
3.506893,40,11.133913
3.948154,40,11.149526
3.849187,40,11.291712
5.22456,40,11.335217
5.214728,40,11.373015
5.523057,40,11.422113
11.982737,40,11.454571
10.37409,40,11.485819
4.155137,40,11.632885
4.533498,40,11.697722
2.485673,40,11.749696
7.265605,40,11.800049
4.783271,40,11.826873
3.243176,40,11.873787
7.690095,40,11.986931
-1.860616,40,12.019804
6.954028,40,12.068806
4.144139,40,12.101312
4.840845,40,12.152493
5.392448,40,12.183957
10.718188,40,12.289965
6.501357,40,12.322299
8.037991,40,12.354711
6.19153,40,12.402643
5.666619,40,12.434983
8.122671,40,12.46887
7.317311,40,12.585367
6.277208,40,12.620199
9.727931,40,12.651488
9.288752,40,12.683929
6.988009,40,12.715173
7.627066,40,12.769836
6.418038,40,12.88272
2.107974,40,12.917666
6.540154,40,12.964571
6.009112,40,13.01375
5.645917,40,13.047137
11.446935,40,13.078421
6.510053,40,13.186898
1.817536,40,13.237266
3.736821,40,13.268555
8.708876,40,13.316718
5.908136,40,13.348087
5.033381,40,13.383093
11.461552,40,13.48423
8.316952,40,13.518664
9.896738,40,13.552199
6.685477,40,13.583488
4.624512,40,13.605665
5.39399,40,13.64139
2.356941,40,13.773687
8.588658,40,13.822133
7.330545,40,13.856485
7.054219,40,13.88986
7.245843,40,13.921066
6.005283,40,13.952355
2.936817,40,14.072026
7.051063,40,14.105845
5.617892,40,14.137132
9.907092,40,14.185334
10.22829,40,14.235307
8.342192,40,14.266561
4.92712,40,14.375249
8.720873,40,14.40866
6.564562,40,14.457981
9.850011,40,14.505287
0.806559,40,14.553074
4.79219,40,14.584276
6.097639,40,14.709688
7.532246,40,14.741987
5.219983,40,14.774434
9.499704,40,14.813718
5.154415,40,14.856449
6.290927,40,14.897346
9.483995,40,14.992296
5.166649,40,15.030409
9.979682,40,15.064792
5.042168,40,15.116452
5.705768,40,15.150938
4.311318,40,15.182264
9.45865,40,15.327414
7.168121,40,15.360885
6.628909,40,15.380781
7.271043,40,15.413143
9.307617,40,15.445448
12.655979,40,15.477784
10.376154,40,15.61087
10.052243,40,15.645333
10.192635,40,15.67887
7.222335,40,15.726946
6.518132,40,15.764131
5.120319,40,15.796714
7.292738,40,15.916443
11.763712,40,15.950189
7.09217,40,15.984629
11.906338,40,16.035702
7.002327,40,16.068117
6.974532,40,16.10793
4.4597,40,16.195826
5.430891,40,16.244854
8.482548,40,16.276099
7.228014,40,16.325016
5.898104,40,16.373012
9.508847,40,16.388641
7.273213,40,16.546066
5.283399,40,16.57732
5.744908,40,16.622385
7.089994,40,16.672029
6.118545,40,16.704409
8.657363,40,16.720077
8.927254,40,16.860608
5.168438,40,16.894178
2.8147,40,16.925422
8.882018,40,16.956664
7.46687,40,16.991151
6.209629,40,17.039376
7.743603,40,17.168154
4.573422,40,17.201315
7.828281,40,17.248257
9.337951,40,17.267688
4.631086,40,17.316864
7.899654,40,17.333681
7.714085,40,17.470992
9.562659,40,17.520034
7.436859,40,17.552632
9.571729,40,17.601498
5.69881,40,17.637534
10.128396,40,17.670068
9.794922,40,17.792381
5.717583,40,17.809474
6.38856,40,17.840754
3.231045,40,17.874245
7.531362,40,17.905535
6.438752,40,17.938862
9.432137,40,18.069639
9.385695,40,18.119318
7.340937,40,18.166147
6.902398,40,18.19849
8.174943,40,18.249373
10.374098,40,18.265038
6.349466,40,18.383551
6.965202,40,18.417834
11.072226,40,18.452034
6.947332,40,18.483289
8.816893,40,18.515961
7.139333,40,18.5676
9.334729,40,18.695421
10.113567,40,18.728438
5.658157,40,18.760953
8.109516,40,18.808935
10.793468,40,18.840183
4.478878,40,18.871461
8.185293,40,18.984126
10.763247,40,19.016647
5.885562,40,19.050626
8.06735,40,19.084217
6.934844,40,19.116696
7.083072,40,19.147936
5.318732,40,19.279619
7.628485,40,19.313375
7.899614,40,19.347069
8.291258,40,19.379425
4.665076,40,19.42856
10.418148,40,19.462068
7.125874,40,19.581557
9.52185,40,19.615102
8.150996,40,19.647467
12.066518,40,19.696627
7.070999,40,19.736648
9.286282,40,19.770679
7.068694,40,19.951888
7.325451,40,19.983137
4.584929,40,20.033488
5.941321,40,20.05115
5.340338,40,20.084848
8.163421,40,20.119401
8.525708,40,20.254978
6.526341,40,20.304792
7.960644,40,20.35165
5.786122,40,20.382892
6.440809,40,20.416325
8.0506,40,20.449109
8.485151,40,20.583215
6.651858,40,20.617656
9.916297,40,20.650018
8.756532,40,20.69891
5.382282,40,20.745251
4.20847,40,20.779178
8.845259,40,20.941177
9.048696,40,20.991801
7.952921,40,21.024186
6.523448,40,21.057779
6.664553,40,21.108517
6.321204,40,21.124271
8.551908,40,21.232643
7.674947,40,21.279542
8.760084,40,21.328649
7.596994,40,21.366017
7.742193,40,21.399534
6.470728,40,21.430838
3.932538,40,21.553703
7.41127,40,21.608094
4.420499,40,21.64047
6.537463,40,21.676073
6.750453,40,21.709493
6.7512,40,21.726472
6.98858,40,21.845265
4.613042,40,21.896309
9.450402,40,21.944308
6.778769,40,21.976851
9.321496,40,22.009342
5.614665,40,22.044137
4.500203,40,22.157487
7.241315,40,22.207133
9.134075,40,22.24174
4.907231,40,22.290866
8.250697,40,22.33785
6.321336,40,22.353472
8.692744,40,22.475502
8.895816,40,22.508964
9.864899,40,22.558304
6.550436,40,22.606302
9.017328,40,22.639708
8.157513,40,22.671022
10.478909,40,22.793488
6.577258,40,22.827913
10.744515,40,22.861336
7.880306,40,22.892587
7.739537,40,22.924944
6.00567,40,22.957244
4.772199,40,23.072831
8.995291,40,23.106505
6.724789,40,23.153413
8.560899,40,23.200284
5.847459,40,23.232594
9.303287,40,23.265181
11.6091,40,23.382486
6.677739,40,23.416857
6.936139,40,23.466126
4.69219,40,23.51876
6.196254,40,23.556831
7.283394,40,23.572841
4.509362,40,23.688241
7.342146,40,23.738409
7.174341,40,23.770789
4.608182,40,23.817773
7.647008,40,23.851167
6.786229,40,23.882418
7.231862,40,24.004719
7.471765,40,24.021372
4.354344,40,24.054812
9.42883,40,24.091022
6.963511,40,24.108833
8.530768,40,24.142306
10.250197,40,24.274515
8.174191,40,24.292276
11.848037,40,24.325785
8.207476,40,24.372653
7.177045,40,24.405005
8.737199,40,24.437417
8.991999,40,24.582675
8.96743,40,24.631966
9.477731,40,24.664659
6.737133,40,24.714642
6.811015,40,24.748166
8.387534,40,24.779409
8.755971,40,24.884902
10.34667,40,24.934088
10.7553,40,24.970852
10.289469,40,25.018853
8.232523,40,25.052178
9.168997,40,25.086818
6.796319,40,25.213178
9.681532,40,25.26476
10.414992,40,25.297117
9.418552,40,25.344115
5.8955,40,25.3765
10.075334,40,25.393537
7.622593,40,25.52808
7.133496,40,25.562069
5.110598,40,25.612235
8.398128,40,25.660389
6.795831,40,25.692834
9.200981,40,25.724086
9.157732,40,25.854302
10.848142,40,25.901256
8.176378,40,25.932533
7.902684,40,25.965915
6.194346,40,26.01279
13.325553,40,26.045125
9.567232,40,26.167922
8.511779,40,26.216351
8.540053,40,26.247595
8.997926,40,26.280299
6.999157,40,26.332134
7.866046,40,26.363474
7.4976,40,26.471251
8.083233,40,26.5062
8.463889,40,26.538525
7.797694,40,26.586467
7.098582,40,26.620944
5.911788,40,26.652233
6.253112,40,26.799738
7.1587,40,26.838233
9.547314,40,26.888306
6.881545,40,26.929801
8.0011,40,26.962939
10.499457,40,26.994183
5.107935,40,27.109108
4.252374,40,27.14181
8.218094,40,27.174195
8.025712,40,27.205446
5.431227,40,27.248386
8.088615,40,27.272173
10.051269,40,27.386659
8.164684,40,27.417951
8.128737,40,27.450259
6.168954,40,27.487623
10.206781,40,27.539438
5.087696,40,27.571132
6.952033,40,27.719727
10.055976,40,27.750976
5.373162,40,27.799086
5.592673,40,27.84707
5.862759,40,27.879495
7.711791,40,27.910697
8.200502,40,28.044369
4.205341,40,28.076953
8.338989,40,28.125167
4.181488,40,28.141896
7.535154,40,28.19224
5.212308,40,28.207857
10.39447,40,28.34479
11.170973,40,28.377264
8.366986,40,28.425279
4.857876,40,28.458708
7.964199,40,28.491033
7.771547,40,28.523546
6.050398,40,28.641846
9.597464,40,28.674674
9.803462,40,28.722673
6.182287,40,28.759816
4.997105,40,28.776528
6.777235,40,28.80999
6.502421,40,28.931951
8.005616,40,28.982132
7.548149,40,29.014665
9.413777,40,29.046956
11.097088,40,29.079278
8.46203,40,29.113904
8.21448,40,29.213321
6.399445,40,29.262807
12.584927,40,29.297286
11.932168,40,29.345363
9.621674,40,29.395476
8.90315,40,29.427761
8.392932,40,29.569538
7.253422,40,29.603246
5.649292,40,29.637676
7.100939,40,29.685638
9.979173,40,29.721394
8.64179,40,29.756197
8.851499,40,29.8572
4.713634,40,29.905612
9.049578,40,29.937917
6.599856,40,29.987874
10.010808,40,30.019269
9.818974,40,30.050507
10.719874,40,30.165223
10.119157,40,30.200253
12.706968,40,30.248223
7.979854,40,30.280554
8.936908,40,30.32746
9.415489,40,30.358706
9.289309,40,30.474534
6.079655,40,30.529252
7.109969,40,30.574451
8.48943,40,30.614146
7.956981,40,30.654876
8.625667,40,30.673828
7.081168,40,30.803049
10.233703,40,30.838891
6.421992,40,30.886916
12.999166,40,30.921439
9.682199,40,30.975277
8.654427,40,30.99094
5.114003,40,31.116613
12.157269,40,31.15006
9.624072,40,31.183072
8.94046,40,31.231091
7.789974,40,31.277956
7.315811,40,31.293576
5.748428,40,31.39929
7.234948,40,31.4332
4.613486,40,31.464534
8.467207,40,31.497966
5.466235,40,31.531548
6.8543,40,31.565053
8.918021,40,31.669071
9.910791,40,31.700328
6.40541,40,31.734066
9.859572,40,31.767631
7.709482,40,31.815645
7.184208,40,31.848017
9.357037,40,31.967806
11.900014,40,32.000673
7.720332,40,32.048626
9.176924,40,32.082153
8.732632,40,32.115595
11.343479,40,32.131262
7.03886,40,32.251578
8.20167,40,32.299227
8.129656,40,32.347483
8.231717,40,32.39619
8.052181,40,32.427471
9.734648,40,32.458724
7.990501,40,32.590451
9.471263,40,32.639664
3.252373,40,32.687823
6.842417,40,32.719066
6.076664,40,32.750309
8.161358,40,32.781557
8.602812,40,32.881387
10.381446,40,32.912679
9.939044,40,32.960727
7.424279,40,32.991968
7.865883,40,33.043865
8.588124,40,33.078521
7.773632,40,33.197391
10.27853,40,33.229956
6.437583,40,33.261224
10.285111,40,33.295716
7.232626,40,33.32812
10.864998,40,33.360429
7.180862,40,33.458378
6.802271,40,33.508588
6.697051,40,33.546358
10.735692,40,33.589722
10.844092,40,33.637743
9.910281,40,33.652651
6.799495,40,33.775397
9.561992,40,33.811584
8.220418,40,33.844967
12.422842,40,33.891832
7.079227,40,33.924168
9.167909,40,33.955421
6.17453,40,34.076737
7.535536,40,34.110183
8.902442,40,34.161259
8.103596,40,34.194752
9.893208,40,34.242702
11.835343,40,34.259528
7.913806,40,34.392334
7.125837,40,34.431803
10.411638,40,34.46396
9.010929,40,34.516224
8.536918,40,34.548803
8.218543,40,34.581546
6.803367,40,34.712724
8.13145,40,34.744013
9.701073,40,34.790885
7.306385,40,34.822165
11.432132,40,34.85518
8.03664,40,34.888562
8.224547,40,35.022069
8.777421,40,35.056175
9.952722,40,35.099676
6.703629,40,35.134148
10.101779,40,35.181095
7.803173,40,35.196715
7.930403,40,35.300282
6.012597,40,35.331517
9.123987,40,35.379669
10.820867,40,35.410912
8.815441,40,35.442124
10.692402,40,35.474504
8.325528,40,35.611474
